City_Id,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
1,Hithadhoo,MV,85.08,-0.6,73.08,overcast clouds,Scoop Guest House
7,Bubaque,GW,77.09,11.28,-15.83,scattered clouds,Casa Dora
10,Kapaa,US,78.8,22.08,-159.32,broken clouds,Sheraton Kauai Resort at Coconut Beach
18,Tautira,PF,86.0,-17.73,-149.15,scattered clouds,Pension Oaoa
19,East London,ZA,84.2,-33.02,27.91,clear sky,Tu Casa
20,Bambous Virieux,MU,75.2,-20.34,57.76,shower rain,Casa Tia Villa
23,Kavieng,PG,84.74,-2.57,150.8,light rain,Nusa Island Retreat
26,Avarua,CK,80.6,-21.21,-159.78,clear sky,Paradise Inn
30,Jiwani,PK,83.35,25.05,61.74,clear sky,Al Mumtaz Transport Jiwani
35,Vaini,TO,82.4,-21.2,-175.2,broken clouds,Keleti Beach Resort
40,Hilo,US,75.2,19.73,-155.09,scattered clouds,Hilo Hawaiian Hotel
41,Bandarbeyla,SO,83.8,9.49,50.81,broken clouds,REER XOOSHLE GROUP
46,Pangai,TO,82.4,-19.8,-174.35,few clouds,Ha'apai Beach Resort
47,Meulaboh,ID,88.2,4.14,96.13,light rain,Kost Pria
53,Neiafu,TO,84.2,-18.65,-173.98,few clouds,Mystic Sands
54,Gamba,GA,76.95,-2.65,10.0,light rain,
59,Rikitea,PF,76.8,-23.12,-134.97,broken clouds,Pension Maro'i
76,Faanui,PF,82.96,-16.48,-151.75,light rain,Bora-Bora Pearl Beach Resort & Spa
86,Atuona,PF,82.62,-9.8,-139.03,light rain,Villa Enata
87,Poum,NC,80.01,-20.23,164.02,light rain,Gîte kajeon
88,Butaritari,KI,84.07,3.07,172.79,few clouds,Isles Sunset Lodge
89,Luanda,AO,78.8,-8.84,13.23,broken clouds,EPIC SANA Luanda
91,Puerto Ayora,EC,80.01,-0.74,-90.35,broken clouds,Finch Bay Galapagos Hotel
95,Saint-Philippe,RE,78.01,-21.36,55.77,scattered clouds,"Chambres d'hôte ""La Trinité"""
100,Bathsheba,BB,78.8,13.22,-59.52,few clouds,Atlantis Hotel
105,Souillac,MU,75.2,-20.52,57.52,shower rain,Bils' Villa
106,Ambilobe,MG,82.26,-13.2,49.05,broken clouds,Hôtel & Restaurant DIANA Ambilobe
107,Carnarvon,AU,78.8,-24.87,113.63,scattered clouds,Hospitality Carnarvon
108,Kloulklubed,PW,87.8,7.04,134.26,broken clouds,Storyboard Beach Resort
111,Mana,GF,76.69,5.66,-53.78,moderate rain,LE SAMANA
125,Carutapera,BR,78.91,-1.2,-46.02,scattered clouds,Lidera
134,Mananjary,MG,77.54,-21.22,48.33,light rain,Vahiny Lodge
151,Voh,NC,78.78,-20.97,164.7,light rain,Le gîte du Koniambo
158,Akyab,MM,89.47,20.15,92.9,clear sky,Hotel Memory
166,Sambava,MG,81.39,-14.27,50.17,light rain,Melrose
167,Tuy Hoa,VN,88.25,13.08,109.3,scattered clouds,CenDeluxe Hotel Tuy Hoa
168,Olinda,BR,78.8,-8.01,-34.86,broken clouds,Hotel 5 Sóis
169,Umm Lajj,SA,79.92,25.02,37.27,clear sky,Tanal Hotel Apartment
171,Kahului,US,78.8,20.89,-156.47,broken clouds,Maui Seaside Hotel
172,Mabaruma,GY,75.15,8.2,-59.78,broken clouds,
173,Minab,IR,80.6,27.15,57.08,few clouds,فروشگاه موبایل ترکمانی
176,Kailua,US,82.4,21.4,-157.74,broken clouds,Sheffield House Bed & Breakfast
184,Namatanai,PG,84.07,-3.67,152.43,light rain,Namatanai Hotel
186,Tual,ID,85.71,-5.67,132.75,light rain,Grand Vilia Hotel
