City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2020-04-16 08:48:09,-34.53,20.04,69.8,52,2,9.17
1,Bahia Blanca,AR,2020-04-16 08:51:59,-38.72,-62.27,60.37,44,95,8.95
2,Sao Joao Da Barra,BR,2020-04-16 08:50:40,-21.64,-41.05,73.0,89,100,6.17
3,Inhambane,MZ,2020-04-16 08:51:59,-23.86,35.38,84.2,74,75,11.41
4,Ushuaia,AR,2020-04-16 08:47:31,-54.8,-68.3,44.6,87,56,5.82
5,Geraldton,AU,2020-04-16 08:51:05,-28.77,114.6,75.2,53,40,18.34
6,Intipuca,SV,2020-04-16 08:52:00,13.2,-88.05,82.42,69,92,2.75
7,Zhigansk,RU,2020-04-16 08:51:41,66.77,123.37,10.13,89,72,20.13
8,Cidreira,BR,2020-04-16 08:52:01,-30.18,-50.21,60.51,70,0,19.44
9,Chauk,MM,2020-04-16 08:52:01,20.88,94.82,106.57,11,0,8.08
10,Butaritari,KI,2020-04-16 08:50:23,3.07,172.79,83.53,79,47,17.29
11,Ranir Bazar,IN,2020-04-16 08:52:01,23.83,91.37,91.4,55,40,3.36
12,Dickinson,US,2020-04-16 08:52:02,29.46,-95.05,62.01,71,1,11.52
13,Abalak,RU,2020-04-16 08:49:25,58.13,68.59,54.45,67,64,10.38
14,Zheleznodorozhnyy,RU,2020-04-16 08:52:02,55.75,38.0,45.0,75,75,11.18
15,Cortez,US,2020-04-16 08:52:02,37.35,-108.59,37.4,44,1,3.36
16,Jamestown,US,2020-04-16 08:51:01,42.1,-79.24,28.0,79,75,5.82
17,Georgetown,MY,2020-04-16 08:46:15,5.41,100.34,91.4,59,40,8.05
18,Klaksvik,FO,2020-04-16 08:50:22,62.23,-6.59,42.8,81,78,5.82
19,Ponta Do Sol,PT,2020-04-16 08:50:23,32.67,-17.1,62.6,63,20,2.24
20,Mareeba,AU,2020-04-16 08:52:04,-17.0,145.43,78.8,83,40,6.93
21,Shenjiamen,CN,2020-04-16 08:51:48,29.96,122.3,61.99,80,98,24.63
22,Samarai,PG,2020-04-16 08:52:04,-10.62,150.67,81.05,82,68,8.01
23,Narsaq,GL,2020-04-16 08:50:31,60.92,-46.05,32.0,97,90,6.93
24,Makakilo City,US,2020-04-16 08:51:22,21.35,-158.09,78.8,83,90,8.43
25,Victor Harbor,AU,2020-04-16 08:50:55,-35.57,138.62,63.0,55,40,19.46
26,Katherine,AU,2020-04-16 08:52:05,-14.47,132.27,93.2,34,82,11.41
27,Chlorakas,CY,2020-04-16 08:52:05,34.8,32.41,71.6,40,0,12.75
28,Tateyama,JP,2020-04-16 08:52:05,34.98,139.87,55.99,66,75,18.34
29,Qaanaaq,GL,2020-04-16 08:50:40,77.48,-69.36,6.64,80,4,8.9
30,Bluff,NZ,2020-04-16 08:50:31,-46.6,168.33,50.0,81,100,10.0
31,Zhangye,CN,2020-04-16 08:52:06,38.93,100.45,67.98,13,2,14.43
32,Pevek,RU,2020-04-16 08:50:35,69.7,170.31,11.17,96,100,2.48
33,Chino Valley,US,2020-04-16 08:52:06,34.76,-112.45,48.0,31,1,6.93
34,Avarua,CK,2020-04-16 08:51:01,-21.21,-159.78,73.4,83,94,3.36
35,Vestmannaeyjar,IS,2020-04-16 08:50:23,63.44,-20.27,41.0,75,90,2.24
36,Sinnamary,GF,2020-04-16 08:52:07,5.38,-52.95,77.9,85,83,10.47
37,Yellowknife,CA,2020-04-16 08:50:39,62.46,-114.35,17.01,85,5,6.93
38,Atuona,PF,2020-04-16 08:50:44,-9.8,-139.03,82.44,73,74,9.71
39,Punta Arenas,CL,2020-04-16 08:47:37,-53.15,-70.92,46.4,87,75,6.93
40,Ladario,BR,2020-04-16 08:52:07,-19.0,-57.6,56.79,67,0,3.29
41,Lagunas,PE,2020-04-16 08:52:08,-5.23,-75.68,72.81,87,98,1.43
